Scoring Category,Score,Comments/Justification
Video,3,"https://www.youtube.com/watch?v=U59HyX21S7k
Separate videos available for the basic demo and new features demo"
Workload is spread over the whole team,1,"Max commits by single author: 62 (Leila Moran)
Min commits by single author: 2 (Peeyush Taneja)
"
Number of Commits,2,(Total commits: 347) Taken from git repo
Number of Commits by different people,3,15 unique authors in the project.
Issues reports: there are many,2,36 open issues and 60 closed issue
Issues are being closed,1,Only 37% of issues are closed
DOI badge: exists,3,All relevant badges are added to the repo.
"Docs: doco generated, format not ugly",2,Documentation is to the point and easy to follow.
Docs: what: point descriptions of each class/function (in isolation),3,"For each bot command, a detailed description with an example is given."
"Docs: how: for common use cases X,Y,Z mini-tutorials showing worked examples on how to do X,Y,Z",3,"For new features, tutorial is provided with a demo video. 
For the basic (original features) no video provided."
"Docs: why: docs tell a story, motivate the whole thing, deliver a punchline that makes you want to rush out and use the thing",2,"The documentation identifies the problem that the project addresses.




"
"Docs: short video, animated, hosted on your repo. That convinces people why they want to work on your code.",1,"Animated video covers the problem statement and solution 
but does not mention future scope."
Use of version control tools,3,Project is maintained and well documented on GIT
Use of style checkers,2,Style checkers are needed but mentioned only in contributing.md 
Use of code formatters.,3,Code formatter package present in requirements.txt
Use of syntax checkers.,3,
Use of code coverage,3,The project uses coverage python package
Other automated analysis tools,2,
Test cases exist,3,Present
Test cases are routinely executed,1,
The files CONTRIBUTING.md lists coding standards and lots of tips on how to extend the system without screwing things up,3,Contributing md has all the required steps before contributing to the project
Issues are discussed before they are closed,3,Comments from contributors on issues are present for almost all issues.
Chat channel: exists,0,Channel link is not present
Test cases: a large proportion of the issues related to handling failing cases.,3,90% code coverage
Evidence that the whole team is using the same tools: everyone can get to all tools and files,2,
"Evidence that the whole team is using the same tools (e.g. config files in the repo, updated by lots of different people)",1,
"Evidence that the whole team is using the same tools (e.g. tutor can ask anyone to share screen, they demonstrate the system running on their computer)",2,Cannot test
Evidence that the members of the team are working across multiple places in the code base,1,"Most of the issues are closed by only one member, and also multiple commits are done by the same member"
Short release cycles,3,Cannot test for short projects
"Does your website and documentation provide a clear, high-level overview of your software?",Yes,
Does your website and documentation clearly describe the type of user who should use your software?,Yes,
Do you publish case studies to show how your software has been used by yourself and others?,Yes,
Is the name of your project/software unique?,No,
Is your project/software name free from trademark violations?,Yes,
Is your software available as a package that can be deployed without building it?,No,
Is your software available for free?,Yes,
"Is your source code publicly available to download, either as a downloadable bundle or via access to a source code repository?",Yes,
"Is your software hosted in an established, third-party repository likeGitHub (https://github.com), BitBucket (https://bitbucket.org),LaunchPad (https://launchpad.net) orSourceForge (https://sourceforge.net)?",Yes,
Is your documentation clearly available on your website or within your software?,Yes,
"Does your documentation include a ""quick start"" guide, that provides a short overview of how to use your software with some basic examples of use?",No,
"If you provide more extensive documentation, does this provide clear, step-by-step instructions on how to deploy and use your software?",Yes,
"Do you provide a comprehensive guide to all your software’s commands, functions and options?",Yes,
Do you provide troubleshooting information that describes the symptoms and step-by-step solutions for problems and error messages?,No,
"If your software can be used as a library, package or service by other software, do you provide comprehensive API documentation?",No,
Do you store your documentation under revision control with your source code?,Yes,
"Do you publish your release history e.g. release data, version numbers, key features of each release etc. on your web site or in your documentation?",No,
Does your software describe how a user can get help with using your software?,Yes,
"Does your website and documentation describe what support, if any, you provide to users and developers?",Yes,
Does your project have an e-mail address or forum that is solely for supporting users?,No,
Are e-mails to your support e-mail address received by more than one person?,Not Applicable,
Does your project have a ticketing system to manage bug reports and feature requests?,Yes,
"Is your project's ticketing system publicly visible to your users, so they can view bug reports and feature requests?",Yes,
Is your software’s architecture and design modular?,Yes,
Does your software use an accepted coding standard or convention?,Yes,
"Does your software allow data to be imported and exported using open data formats? (e.g. GIF, SVG, HTML, XML, tar, zip, CSV, JSON, NetCDF, or domain specific ones)",No,
Does your software allow communications using open communications protocols?,Not Applicable,
Is your software cross-platform compatible?,No,
Does your software adhere to appropriate accessibility conventions or standards?,Yes,
Is your source code stored in a repository under revision control?,Yes,
Is each source code release a snapshot of the repository?,No,
Are releases tagged in the repository?,Not Applicable,
Is there a branch of the repository that is always stable?,Yes,
Do you back-up your repository?,Yes,
Do you provide publicly-available instructions for building your software from the source code?,Yes,
"Can you build, or package, your software using an automated tool?",No,
Do you provide publicly-available instructions for deploying your software?,Yes,
Does your documentation list all third-party dependencies?,Yes,
Does your documentation list the version number for all third-party dependencies?,Yes,
"Does your software list the web address, and licences for all third-party dependencies and say whether the dependencies are mandatory or optional?",No,
Can you download dependencies using a dependency management tool or package manager?,Yes,
Do you have tests that can be run after your software has been built or deployed to show whether the build or deployment has been successful?,No,
Do you have an automated test suite for your software?,No,
Do you have a framework to periodically (e.g. nightly) run your tests on the latest version of the source code?,No,
"Do you use continuous integration, automatically running tests whenever changes are made to your source code?",No,
Are your test results publicly visible?,Yes,
Are all manually-run tests documented?,Not Applicable,
"Does your project have resources (e.g. blog, Twitter, RSS feed, Facebook page, wiki, mailing list) that are regularly updated with information about your software?
e.g. release announcements, publications, workshops, conference presentations",No,
Does your website state how many projects and users are associated with your project?,No,
Do you provide success stories on your website?,No,
Do you list your important partners and collaborators on your website?,Not Applicable,
Do you list your project's publications on your website or link to a resource where these are available?,No,
Do you list third-party publications that refer to your software on your website or link to a resource where these are available?,No,
Can users subscribe to notifications to changes to your source code repository?,Yes,
"If your software is developed as an open source project (and, not just a project developing open source software), do you have a governance model?",No,
"Do you accept contributions (e.g. bug fixes, enhancements, documentation updates, tutorials) from people who are not part of your project?",Yes,
Do you have a contributions policy?,No,
Is your contributions' policy publicly available?,Yes,
Do contributors keep the copyright/IP of their contributions?,Not Applicable,
Does your website and documentation clearly state the copyright owners of your software and documentation?,Yes,
Does each of your source code files include a copyright statement?,No,
Does your website and documentation clearly state the licence of your software?,No,
Is your software released under an open source licence?,Yes,
Is your software released under an OSI-approved open-source licence?,Yes,
Does each of your source code files include a licence header?,No,
Do you have a recommended citation for your software?,No,
"Does your website or documentation include a project roadmap (a list of project and development milestones for the next 3, 6 and 12 months)?",No,
"Does your website or documentation describe how your project is funded, and the period over which funding is guaranteed?",No,
"Do you make timely announcements of the deprecation of components, APIs, etc.?",No,
