,,Total = 62,
,Scoring Category,Score,Comments/Justification
,Video,1,New features added are clearly mentioned but lacks a little for clarity on how exaclty the project functions as a whole
,Workload is spread over the whole team (one team member is often Xtimes more productive than the others...,1,The workload does not seem to be distributed properly since some authors have done dense number of commits while some have done very few.
,"but nevertheless, here is a track record that everyone is contributing a lot)",,
,Number of commits,2,The total number of commits to the project are 205 
,Number of commits: by different people,3,Around 12 unique authors
,Issues reports: there are many,3,Since there are 0 open issues in the repos
,Issues are being closed,,
,DOI badge: exists,3,Badge exists
,"Docs: doco generated, format not ugly",2,Documentation seems decent enough
,Docs: what: point descriptions of each class/function (in isolation),3,All mentioned classes are documented
,"Docs: how: for common use cases X,Y,Z mini-tutorials showing worked examples on how to do X,Y,Z",2,Only one usecase is displayed that too not with too many details
,"Docs: why: docs tell a story, motivate the whole thing, deliver a punchline that makes you want to rush out and use the thing",2,
,"Docs: short video, animated, hosted on your repo. That convinces people why they want to work on your code.",2,Video exists; however what is explained but not why
,Use of version control tools,3,
,Use of style checkers,3,library named 'standard' was used which to maintain consistent and clean code across JavaScript projects.
,Use of code formatters.,2,
,Use of syntax checkers.,2,
,Use of code coverage,3,97% code coverage
,Other automated analysis tools,3,package.json contains 'nyc' for that
,Test cases exist,3,Testcases exist
,Test cases are routinely executed,2,
,The files CONTRIBUTING.md lists coding standards and lots of tips on how to extend the system without screwing things up,3,The file exists but no tips on how to extend the system
,Issues are discussed before they are closed,1, No comments or discussions for all the issues
,Chat channel: exists,0,No chat link mentioned in the repository
,Test cases: a large proportion of the issues related to handling failing cases.,3,Good test coverage
,Evidence that the whole team is using the same tools: everyone can get to all tools and files,2,
,"Evidence that the whole team is using the same tools (e.g. config files in the repo, updated by lots of different people)",2,
,"Evidence that the whole team is using the same tools (e.g. tutor can ask anyone to share screen, they demonstrate the system running on their computer)",2,
,Evidence that the members of the team are working across multiple places in the code base,2,
,Short release cycles,2,
,"Does your website and documentation provide a clear, high-level overview of your software?",yes,
,Does your website and documentation clearly describe the type of user who should use your software?,no,
,Do you publish case studies to show how your software has been used by yourself and others?,no,
,Is the name of your project/software unique?,no,
,Is your project/software name free from trademark violations?,yes,
,Is your software available as a package that can be deployed without building it?,no,
,Is your software available for free?,yes,
,"Is your source code publicly available to download, either as a downloadable bundle or via access to a source code repository?",yes,
,"Is your software hosted in an established, third-party repository likeGitHub (https://github.com), BitBucket (https://bitbucket.org),LaunchPad (https://launchpad.net) orSourceForge (https://sourceforge.net)?",yes,
,Is your documentation clearly available on your website or within your software?,yes,
,"Does your documentation include a ""quick start"" guide, that provides a short overview of how to use your software with some basic examples of use?",yes,
,"If you provide more extensive documentation, does this provide clear, step-by-step instructions on how to deploy and use your software?",no,
,"Do you provide a comprehensive guide to all your software’s commands, functions and options?",yes,
,Do you provide troubleshooting information that describes the symptoms and step-by-step solutions for problems and error messages?,no,
,"If your software can be used as a library, package or service by other software, do you provide comprehensive API documentation?",no,
,Do you store your documentation under revision control with your source code?,yes,
,"Do you publish your release history e.g. release data, version numbers, key features of each release etc. on your web site or in your documentation?",no,
,Does your software describe how a user can get help with using your software?,no,
,"Does your website and documentation describe what support, if any, you provide to users and developers?",no,
,Does your project have an e-mail address or forum that is solely for supporting users?,no,
,Are e-mails to your support e-mail address received by more than one person?,no,
,Does your project have a ticketing system to manage bug reports and feature requests?,yes,
,"Is your project's ticketing system publicly visible to your users, so they can view bug reports and feature requests?",no,
,Is your software’s architecture and design modular?,yes,
,Does your software use an accepted coding standard or convention?,yes,
,"Does your software allow data to be imported and exported using open data formats? (e.g. GIF, SVG, HTML, XML, tar, zip, CSV, JSON, NetCDF, or domain specific ones)",no,
,Does your software allow communications using open communications protocols?,no,
,Is your software cross-platform compatible?,yes,
,Does your software adhere to appropriate accessibility conventions or standards?,yes,
,Does your documentation adhere to appropriate accessibility conventions or standards?,yes,
,Is your source code stored in a repository under revision control?,yes,
,Is each source code release a snapshot of the repository?,no,
,Are releases tagged in the repository?,yes,
,Is there a branch of the repository that is always stable?,yes,
,Do you back-up your repository?,yes,
,Do you provide publicly-available instructions for building your software from the source code?,no,
,"Can you build, or package, your software using an automated tool?",no,
,Do you provide publicly-available instructions for deploying your software?,yes,
,Does your documentation list all third-party dependencies?,yes,
,Does your documentation list the version number for all third-party dependencies?,yes,
,"Does your software list the web address, and licences for all third-party dependencies and say whether the dependencies are mandatory or optional?",yes,
,Can you download dependencies using a dependency management tool or package manager?,yes,
,Do you have tests that can be run after your software has been built or deployed to show whether the build or deployment has been successful?,yes,
,Do you have an automated test suite for your software?,yes,
,Do you have a framework to periodically (e.g. nightly) run your tests on the latest version of the source code?,no,
,"Do you use continuous integration, automatically running tests whenever changes are made to your source code?",yes,
,Are your test results publicly visible?,yes,
,Are all manually-run tests documented?,yes,
,"Does your project have resources (e.g. blog, Twitter, RSS feed, Facebook page, wiki, mailing list) that are regularly updated with information about your software?
e.g. release announcements, publications, workshops, conference presentations",yes,
,Does your website state how many projects and users are associated with your project?,yes,
,Do you provide success stories on your website?,yes,
,Do you list your important partners and collaborators on your website?,no,
,Do you list your project's publications on your website or link to a resource where these are available?,no,
,Do you list third-party publications that refer to your software on your website or link to a resource where these are available?,no,
,Can users subscribe to notifications to changes to your source code repository?,no,
,"If your software is developed as an open source project (and, not just a project developing open source software), do you have a governance model?",yes,
,"Do you accept contributions (e.g. bug fixes, enhancements, documentation updates, tutorials) from people who are not part of your project?",yes,
,Do you have a contributions policy?,no,
,Is your contributions' policy publicly available?,no,
,Do contributors keep the copyright/IP of their contributions?,no,
,Does your website and documentation clearly state the copyright owners of your software and documentation?,no,
,Does each of your source code files include a copyright statement?,no,
,Does your website and documentation clearly state the licence of your software?,no,
,Is your software released under an open source licence?,no,
,Is your software released under an OSI-approved open-source licence?,no,
